Occupation,weekly_hours,daily_work_hours_consistency,weekly_work_days_consistency,fixed_commute_times,shift_work_status,overtime_exceeds_10hrs,works_on_saturdays,works_on_sundays,satisfaction
6,30,0,0,0,0,1,1,1,3.0
6,40,1,1,0,0,0,1,1,2.0
6,30,0,0,0,0,0,1,1,2.0
6,40,1,1,0,0,0,1,1,3.0
6,40,0,0,0,0,0,1,1,2.0
6,30,0,0,0,0,0,1,0,2.0
6,40,0,0,0,0,0,1,1,2.0
6,40,0,0,0,0,0,1,1,2.0
6,50,0,0,0,0,1,1,1,2.0
6,40,0,0,0,0,0,1,1,3.0
7,55,0,0,0,0,0,1,1,3.0
9,60,1,1,0,0,1,1,0,2.0
4,54,0,1,0,0,1,1,1,3.0
7,84,1,1,1,0,1,1,1,3.0
5,60,0,1,1,0,1,1,1,2.0
7,60,0,1,1,0,1,1,0,3.0
4,80,1,1,1,0,1,1,1,3.0
7,60,1,1,0,0,1,1,0,2.0
4,60,1,1,0,0,0,1,1,3.0
9,54,0,1,0,0,1,1,0,3.0
5,70,1,1,0,0,1,1,1,3.0
7,21,0,1,0,0,0,1,1,3.0
5,90,1,1,0,0,1,1,0,3.0
2,45,1,1,1,0,0,1,0,3.0
6,42,0,0,0,0,1,1,1,3.0
6,40,0,0,0,0,1,1,1,3.0
7,50,1,1,0,0,0,1,0,3.0
1,60,1,1,1,0,1,1,0,3.0
7,48,1,1,0,0,0,1,0,3.0
7,54,1,1,1,0,0,1,0,2.0
6,50,0,0,0,0,1,1,1,3.0
6,50,0,0,0,0,1,1,1,2.0
6,40,0,0,0,0,1,1,1,3.0
6,40,0,0,0,0,1,1,1,3.0
6,40,0,0,0,0,1,1,1,3.0
5,60,1,1,1,0,1,1,1,3.0
6,50,0,0,0,0,1,1,1,3.0
8,30,0,0,0,0,0,1,0,2.0
6,31,0,0,0,0,1,1,1,2.0
6,18,0,0,0,0,0,1,1,2.0
6,28,0,0,0,0,1,1,1,2.0
6,34,0,0,0,0,0,1,1,2.0
6,26,0,0,0,0,1,1,1,3.0
6,30,0,0,0,0,0,1,1,2.0
6,35,0,0,0,0,1,1,1,2.0
6,24,0,0,0,0,1,1,1,2.0
6,29,0,0,0,0,1,1,1,2.0
6,21,0,0,0,0,0,1,1,2.0
6,54,0,0,0,0,1,1,1,2.0
6,55,0,0,0,0,1,1,0,3.0
6,36,0,0,0,0,1,1,1,2.0
6,55,0,0,0,0,1,1,1,2.0
6,36,0,0,0,0,1,1,1,3.0
6,40,0,0,0,0,1,1,1,3.0
6,60,0,0,0,0,1,1,1,3.0
