Occupation,weekly_hours,daily_work_hours_consistency,weekly_work_days_consistency,fixed_commute_times,shift_work_status,overtime_exceeds_10hrs,works_on_saturdays,works_on_sundays,satisfaction
9,30.0,0.0,0.0,0.0,0.0,1,0,0,3
2,40.0,1.0,1.0,1.0,0.0,0,0,0,1
3,48.0,1.0,1.0,1.0,0.0,0,1,0,2
9,54.0,1.0,1.0,1.0,0.0,1,1,0,2
7,48.0,1.0,1.0,1.0,0.0,1,1,0,2
3,72.0,1.0,1.0,1.0,0.0,1,1,0,3
2,40.0,1.0,1.0,1.0,0.0,1,1,0,2
7,72.0,1.0,1.0,1.0,0.0,1,1,0,2
7,66.0,1.0,1.0,1.0,0.0,1,1,0,3
2,45.0,1.0,1.0,1.0,0.0,1,1,1,1
3,50.0,1.0,1.0,1.0,0.0,1,0,1,2
9,70.0,0.0,1.0,1.0,0.0,1,1,0,1
7,50.0,0.0,0.0,0.0,0.0,1,1,1,3
5,60.0,1.0,1.0,1.0,0.0,1,1,0,2
9,6.0,0.0,0.0,0.0,0.0,0,0,0,4
3,55.0,0.0,1.0,1.0,0.0,1,1,1,2
7,24.0,0.0,0.0,0.0,0.0,1,0,0,4
5,70.0,1.0,1.0,1.0,0.0,1,1,1,2
7,50.0,0.0,0.0,0.0,0.0,1,1,0,2
4,44.0,1.0,1.0,1.0,1.0,0,1,1,2
1,40.0,1.0,1.0,1.0,0.0,0,0,0,2
9,70.0,0.0,0.0,0.0,0.0,1,1,1,2
2,15.0,1.0,1.0,1.0,0.0,0,0,0,2
9,55.0,1.0,1.0,1.0,0.0,0,1,0,2
3,50.0,1.0,1.0,1.0,0.0,1,1,1,2
2,40.0,1.0,1.0,1.0,0.0,0,0,0,2
2,46.0,1.0,1.0,1.0,0.0,1,1,0,3
9,48.0,1.0,1.0,1.0,0.0,0,1,0,3
5,40.0,1.0,1.0,1.0,0.0,1,1,0,2
8,60.0,0.0,0.0,0.0,0.0,1,1,1,2
5,50.0,0.0,0.0,0.0,0.0,0,1,1,2
9,40.0,1.0,1.0,1.0,0.0,0,1,0,2
2,50.0,1.0,1.0,1.0,0.0,1,0,0,2
3,40.0,1.0,1.0,1.0,0.0,0,1,1,2
5,84.0,1.0,1.0,0.0,0.0,1,1,1,2
3,40.0,1.0,1.0,1.0,0.0,1,0,0,2
5,54.0,1.0,1.0,1.0,0.0,1,1,0,2
7,60.0,0.0,0.0,0.0,0.0,1,1,0,4
2,50.0,1.0,1.0,1.0,0.0,1,0,0,2
3,35.0,1.0,1.0,1.0,0.0,0,0,0,1
5,27.0,1.0,1.0,1.0,0.0,0,1,1,2
5,40.0,1.0,1.0,1.0,0.0,0,1,0,2
2,40.0,1.0,1.0,1.0,0.0,0,1,0,2
3,40.0,1.0,1.0,1.0,0.0,0,1,0,2
5,15.0,0.0,0.0,0.0,0.0,0,1,0,3
4,32.0,1.0,1.0,1.0,0.0,0,1,1,3
2,48.0,1.0,1.0,1.0,0.0,1,1,0,2
3,40.0,1.0,1.0,1.0,0.0,1,0,0,3
2,54.0,1.0,1.0,1.0,0.0,0,1,0,2
2,40.0,1.0,1.0,1.0,0.0,1,1,1,2
7,96.0,0.0,0.0,0.0,0.0,1,1,1,2
2,40.0,1.0,1.0,1.0,0.0,0,0,0,1
9,40.0,1.0,1.0,1.0,0.0,0,0,0,2
9,40.0,0.0,0.0,0.0,0.0,1,1,1,2
5,40.0,1.0,1.0,1.0,0.0,0,1,0,2
3,50.0,1.0,1.0,1.0,0.0,1,1,0,2
2,72.0,1.0,1.0,1.0,0.0,1,1,1,3
3,50.0,0.0,0.0,0.0,0.0,0,1,0,2
7,54.0,0.0,1.0,0.0,0.0,0,1,0,2
9,50.0,1.0,1.0,1.0,0.0,0,1,0,3
9,50.0,1.0,1.0,1.0,1.0,1,1,1,3
4,40.0,0.0,1.0,0.0,0.0,0,0,0,3
3,48.0,1.0,1.0,1.0,0.0,0,1,0,3
7,50.0,0.0,1.0,0.0,0.0,1,1,0,2
5,80.0,0.0,0.0,1.0,1.0,1,1,1,3
3,48.0,1.0,1.0,1.0,0.0,0,1,0,2
7,36.0,1.0,1.0,1.0,0.0,0,0,0,3
4,60.0,1.0,1.0,1.0,0.0,1,1,1,3
5,84.0,1.0,1.0,1.0,0.0,1,1,1,2
2,72.0,1.0,1.0,1.0,1.0,1,1,0,1
8,70.0,0.0,0.0,0.0,0.0,1,1,0,3
4,66.0,1.0,1.0,1.0,0.0,1,1,1,2
5,42.0,1.0,1.0,1.0,0.0,1,1,0,3
4,60.0,1.0,1.0,1.0,0.0,0,1,1,2
3,36.0,1.0,0.0,1.0,0.0,1,0,0,2
2,25.0,1.0,1.0,1.0,0.0,0,0,0,2
5,84.0,1.0,1.0,1.0,0.0,1,1,1,3
5,48.0,1.0,1.0,1.0,1.0,0,1,1,2
7,50.0,0.0,0.0,0.0,0.0,1,1,1,3
2,40.0,1.0,1.0,1.0,0.0,0,0,0,3
1,40.0,1.0,1.0,1.0,0.0,0,0,0,2
2,35.0,1.0,1.0,1.0,0.0,0,1,1,2
7,40.0,1.0,1.0,1.0,0.0,1,1,1,2
5,50.0,0.0,0.0,1.0,0.0,1,0,0,3
7,50.0,0.0,1.0,1.0,0.0,1,1,0,2
5,72.0,0.0,0.0,0.0,0.0,1,1,0,4
2,50.0,1.0,1.0,1.0,0.0,1,1,0,2
7,45.0,1.0,0.0,1.0,0.0,0,1,1,2
3,40.0,1.0,1.0,1.0,0.0,0,1,0,3
3,50.0,1.0,1.0,1.0,0.0,1,1,0,2
8,60.0,1.0,1.0,0.0,0.0,1,1,1,2
3,40.0,1.0,1.0,1.0,0.0,0,0,0,2
5,54.0,1.0,1.0,1.0,0.0,1,1,0,2
3,40.0,1.0,1.0,1.0,0.0,0,1,0,2
5,66.0,1.0,1.0,1.0,0.0,1,1,0,2
