Occupation,weekly_hours,daily_work_hours_consistency,weekly_work_days_consistency,fixed_commute_times,shift_work_status,overtime_exceeds_10hrs,works_on_saturdays,works_on_sundays,satisfaction
7,45.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0
7,50.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,4.0
6,32.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
6,16.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0
6,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
6,8.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0
8,40.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,2.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
2,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
8,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
6,50.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,2.0
5,50.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
6,35.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
6,36.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0
6,36.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,2.0
6,30.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
6,30.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
6,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
6,15.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,3.0
6,10.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
6,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
4,20.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0
6,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
6,38.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
4,40.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,2.0
2,55.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
6,30.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
6,4.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
9,10.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
7,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
9,30.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
9,9.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
2,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
9,54.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
3,44.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
5,65.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0
4,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
4,50.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,2.0
4,52.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,3.0
9,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
4,56.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,2.0
4,90.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0
8,52.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
5,48.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0
8,52.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
7,48.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
4,78.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0
8,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
8,50.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
4,54.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,2.0
2,40.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,2.0
9,30.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3.0
3,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
9,45.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0
5,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
4,40.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
6,25.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
9,60.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,2.0
3,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
6,30.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3.0
5,14.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,2.0
9,30.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,2.0
6,42.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
3,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
6,35.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
4,3.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0,2.0
7,40.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,2.0
6,28.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0
9,24.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0
9,56.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,3.0
6,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
6,28.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2.0
7,40.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,4.0
6,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
6,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
9,45.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,2.0
