Occupation,weekly_hours,daily_work_hours_consistency,weekly_work_days_consistency,fixed_commute_times,shift_work_status,overtime_exceeds_10hrs,works_on_saturdays,works_on_sundays,satisfaction
7,60,1,1,1,0,1,1,1,4
8,48,1,1,1,0,0,1,0,3
8,90,0,0,0,0,1,1,1,3
4,72,1,1,1,0,1,1,0,2
4,66,0,1,0,0,1,1,0,3
2,50,1,1,0,0,1,0,0,2
9,72,0,1,0,0,1,1,1,2
5,48,1,1,1,0,0,1,0,2
6,28,1,1,0,0,1,1,1,2
6,28,1,1,0,0,1,1,1,2
6,40,1,1,0,0,1,1,1,2
6,28,1,1,0,0,0,1,1,2
6,30,1,1,0,0,0,1,1,2
6,50,1,1,0,0,1,1,1,2
6,28,1,1,0,0,0,1,1,2
1,105,1,1,0,0,1,1,1,2
6,15,0,0,0,0,0,0,0,3
6,15,0,0,0,0,0,0,0,2
6,30,0,0,0,0,0,0,0,2
5,70,0,0,0,0,1,1,1,3
8,48,0,0,0,0,1,1,1,2
8,40,0,0,0,0,1,1,0,3
5,66,0,0,0,0,1,1,0,3
4,49,0,0,0,0,0,1,1,3
1,12,0,0,0,0,0,0,0,3
7,48,0,0,0,0,0,1,0,2
5,84,0,0,0,0,1,1,1,3
4,84,1,1,1,0,1,1,1,4
2,48,0,1,0,0,1,1,0,3
7,30,0,0,0,0,1,0,0,2
2,84,0,1,0,0,0,1,1,2
2,48,0,1,0,0,0,1,0,3
1,20,0,0,0,0,0,0,0,3
8,90,0,1,0,0,1,1,0,2
2,25,0,0,0,0,0,1,1,2
9,36,0,0,0,0,0,1,0,3
8,60,1,1,1,0,1,1,1,2
7,45,0,0,0,0,1,0,0,3
5,70,1,1,0,0,1,1,1,1
4,72,0,0,0,0,1,1,0,2
2,30,1,1,1,0,0,0,0,3
8,50,0,0,0,0,1,1,1,2
5,60,1,1,1,0,1,1,1,2
2,4,1,1,0,0,0,0,0,1
2,6,1,1,0,0,0,0,0,1
6,30,0,0,0,0,0,0,0,2
5,84,0,1,0,0,1,1,1,2
4,70,1,1,0,0,1,1,1,2
5,91,1,1,0,0,1,1,1,2
